Time,FPz,Cz
4921.8750,5.1656,65.3104
4929.6875,13.2406,83.4612
4937.5000,8.5590,85.8502
4945.3125,18.1677,93.4539
4953.1250,14.0126,79.6972
4960.9375,27.6240,82.0932
4968.7500,21.2543,56.7491
4976.5625,20.2194,37.1636
4984.3750,21.9349,26.4461
4992.1875,24.8395,40.6384
5000.0000,11.0935,52.1356
5007.8125,13.6523,81.5439
5015.6250,13.0067,96.1571
5023.4375,14.3435,103.0109
5031.2500,15.5039,104.8671
5039.0625,12.9995,105.1049
5046.8750,20.0974,110.6522
5054.6875,20.0664,95.4969
5062.5000,27.3659,90.1456
5070.3125,20.2790,70.7309
5078.1250,21.0538,67.2580
5085.9375,7.6213,64.3070
5093.7500,16.8703,91.2346
5101.5625,11.7996,98.2279
5109.3750,12.6110,111.2515
5117.1875,8.1547,106.9114
5125.0000,4.5732,98.5971
5132.8125,-4.4374,90.8814
5140.6250,-9.3287,82.0247
5148.4375,-10.5690,69.5898
5156.2500,-2.3879,61.4417
5164.0625,10.7676,60.6083
5171.8750,11.2660,58.6848
5179.6875,23.3434,70.8176
5187.5000,27.3834,74.7319
5195.3125,28.4686,81.5007
5203.1250,15.6543,67.8224
5210.9375,11.0009,73.5507
5218.7500,2.7911,66.8399
5226.5625,6.5318,65.6321
5234.3750,-7.0862,48.5060
5242.1875,9.6071,55.3482
5250.0000,22.4920,52.4161
5257.8125,25.5406,54.5745
5265.6250,22.3878,64.9562
5273.4375,25.8502,76.5293
5281.2500,32.8877,86.6167
5289.0625,28.5752,81.2114
5296.8750,24.6618,80.0342
5304.6875,9.5143,61.3653
5312.5000,10.2235,49.2137
5320.3125,4.8358,28.6162
5328.1250,6.5312,25.9505
5335.9375,-0.5771,15.1506
5343.7500,2.9179,26.0871
5351.5625,0.6155,26.8993
5359.3750,18.6319,46.0622
5367.1875,26.6837,56.3809
5375.0000,29.1631,59.9488
5382.8125,18.9755,50.2455
5390.6250,14.3720,45.8534
5398.4375,9.1445,39.9831
5406.2500,3.1798,35.0577
5414.0625,10.4609,38.1977
5421.8750,9.3475,28.5894
5429.6875,12.3156,26.8718
5437.5000,4.7892,21.7968
5445.3125,13.8468,32.8898
5453.1250,21.7195,34.8951
5460.9375,26.9828,43.4981
5468.7500,21.4637,34.6907
5476.5625,30.9697,53.7846
5484.3750,23.6343,61.1053
5492.1875,25.5505,64.7831
5500.0000,21.2107,51.1131
5507.8125,22.9624,48.5237
5515.6250,23.7444,51.1308
5523.4375,29.1565,42.1674
5531.2500,25.7439,26.5335
5539.0625,13.1432,13.6626
5546.8750,19.6573,19.4085
5554.6875,16.0806,17.3156
5562.5000,21.7936,31.1811
5570.3125,18.8581,33.6788
5578.1250,29.5334,50.5247
5585.9375,26.2815,47.4103
5593.7500,26.4258,64.1088
5601.5625,28.7725,56.4621
5609.3750,49.6710,44.4569
5617.1875,37.4186,36.9888
5625.0000,36.0330,45.1068
5632.8125,26.8801,39.7375
5640.6250,13.2559,27.0263
5648.4375,13.4157,30.4577
5656.2500,16.2764,36.1518
5664.0625,24.2876,49.0430
5671.8750,29.0528,47.4696
5679.6875,35.1324,51.8562
5687.5000,26.1302,44.5936
5695.3125,26.5554,51.0087
5703.1250,21.1135,38.3807
5710.9375,30.0932,38.0833
5718.7500,22.4827,28.7812
5726.5625,32.5376,40.8514
5734.3750,26.8053,40.3793
5742.1875,19.6302,44.0024
5750.0000,28.0818,45.7863
5757.8125,45.5371,56.0477
5765.6250,54.0954,68.0614
5773.4375,58.1346,75.8576
5781.2500,49.5954,74.8639
5789.0625,32.3316,53.0554
5796.8750,29.0812,41.3748
5804.6875,21.0334,33.1325
5812.5000,28.0364,43.2597
5820.3125,18.5967,34.4952
5828.1250,23.3413,40.4315
5835.9375,21.4549,42.1636
5843.7500,30.0181,59.4248
5851.5625,30.7112,62.7153
5859.3750,40.1577,74.1902
5867.1875,44.7944,63.5949
5875.0000,46.5202,53.8379
5882.8125,35.4268,51.9783
5890.6250,25.0986,47.1136
5898.4375,19.0653,36.6477
5906.2500,22.6361,23.5442
5914.0625,27.3622,23.8842
5921.8750,22.2764,27.6008
5929.6875,22.3249,42.0137
5937.5000,12.3190,38.2025
5945.3125,24.3850,54.5442
5953.1250,23.5328,48.5320
5960.9375,36.0525,57.2827
5968.7500,28.6026,62.6841
5976.5625,32.0518,70.6491
